time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.418826981134139e-07,4.1450781833687283e-07,10.00048146688294,0.00040722078390764693,0.00016921051378115948,0.0,-1.277805021778498e-05,3.4404388466939495e-05,0.01604861495087763,0.017739136591932613,0.007936024336923912,0.0,409.2559782665182,409.961553613012,408.4004300160642,409.97923277679746
0.12000000000000001,-5.611730079652708e-06,1.3360916903794305e-05,10.001843510965537,0.0011188750355390908,0.0007196445630279769,0.0,-0.0002154178870661163,0.0004797541863494102,0.029352373615096104,-0.003740098457273607,0.011541347615798827,0.0,409.0256750408193,409.3464573610854,408.71160163300186,406.7930286537992
0.18,-4.04263158790263e-05,7.015024333262019e-05,10.011852757307139,0.000981573703299432,0.001316852685586234,0.0,-0.0010277926056487467,0.0013902409008053594,0.30425601940495467,0.0004677970424762348,0.006571878833561199,0.0,488.4352713201197,488.06445077313896,490.1263961833805,490.4390234546588
0.23999999999999996,-0.00013092134417684028,0.00017413427977814146,10.033156871045422,0.0011561039575642695,0.0017682784956942754,0.0,-0.0020319680717838544,0.0020866277114260307,0.40584978760145046,0.0073917194499633675,0.009362673660389786,0.0,437.4672950296054,437.69946536765605,437.1678699784521,437.7442741381535
0.3,-0.00029571690016460736,0.00032790423887920684,10.06280523541878,0.0017435333101696315,0.0021218210771571933,0.0,-0.003514202481613518,0.0030978042556546346,0.5823550062951971,0.014201612305955867,-0.0021538125314996322,0.0,461.17635303169305,460.2658639237615,460.4799747878931,461.0181554980861
0.36000000000000004,-0.0005521569354176371,0.0005544677583754452,10.101509703797902,0.0025510047818073645,0.0025005860654729872,0.0,-0.005050932255232358,0.00454198575627176,0.7077239482405054,0.011927285885011884,0.019381696895728898,0.0,443.930875688157,445.6941554222811,445.7762078047546,445.59023309843326
0.4200000000000001,-0.0009173917874517013,0.000888365483550194,10.14922483487569,0.003081757771011162,0.0036090182973147478,0.0,-0.007251756890291627,0.006659060947934454,0.8826607995882274,0.0018340001710408851,0.016593567270525356,0.0,460.36935473623595,460.1486517988549,461.3406013411684,460.5429578948566
0.48000000000000015,-0.00144298005230062,0.0013622291548172523,10.208232747071055,0.0037346393617028184,0.005020407194953336,0.0,-0.010411219147603661,0.00918556459370887,1.084099494432193,0.0246414337407753,0.034660823640794175,0.0,468.2491897002285,469.6524501491154,467.73875073343214,469.51128268812505
0.5400000000000001,-0.0021793625516279887,0.0019955462114705485,10.276102043577353,0.005312896750182539,0.007834209702013872,0.0,-0.014389082070739372,0.012079359021750918,1.1781156853873564,0.029437833062121048,0.06412700910934824,0.0,435.1872928668812,437.647730212364,435.77001853522086,436.17088649271426
0.6000000000000002,-0.0032534495175759624,0.002859348928970734,10.353786270287436,0.007068674727367608,0.011703778351046523,0.0,-0.021881129998613805,0.01692685904029379,1.411094835756254,0.028910977298583957,0.06521421851082801,0.0,479.2790501280188,479.3643856093033,477.93345929132477,477.8934960316851
0.6600000000000003,-0.004825536018638562,0.004028622563886561,10.441597015577768,0.008690773795354545,0.016140109434442884,0.0,-0.0309529805550006,0.022220548175827522,1.5157896054004305,0.022991592114657206,0.08731102717597836,0.0,439.9106655199347,441.7405897373378,440.1927117026905,439.70282114442716
0.7200000000000003,-0.007060621900192882,0.005559019280370558,10.53693194721845,0.0099842051177772,0.02188235131385685,0.0,-0.04414799417671708,0.02893635928104692,1.6618279397266515,0.01852221265348652,0.10867565253456235,0.0,453.0174955290418,454.7394007700692,453.41953431519966,453.06035915799083
0.7800000000000004,-0.010186712390261409,0.007506003274104107,10.639649522805865,0.011313558422402892,0.028300072031279377,0.0,-0.060711747010173574,0.03608673421679615,1.761924225071953,0.028579618823471046,0.10329671185645702,0.0,440.17224820388805,439.7370778190843,439.0700062745691,439.90357689950037
0.8400000000000004,-0.014455870777565933,0.009918441384835065,10.748971532239121,0.012783431271992107,0.034547444813797235,0.0,-0.08224108856700094,0.04449417611682467,1.881929688937383,0.014739211183801367,0.1057247350669777,0.0,445.32382949299284,445.5317988150169,447.81807022046115,446.6909950147866
0.9000000000000005,-0.02009088567760984,0.012842504545806505,10.863828137130612,0.014225580233988566,0.04097944649818164,0.0,-0.10620709326975324,0.05308976040233367,1.946489847306685,0.03808530388285702,0.10999611122087703,0.0,429.3522695477025,429.7249983001176,427.8248614921128,429.8080272152564
0.9600000000000005,-0.027212291371942872,0.016287666764170095,10.980693750276146,0.01651419410380406,0.04759306320650314,0.0,-0.13175157015180552,0.0619487222921737,1.9489957457628277,0.03825980257823782,0.11068425580819402,0.0,408.73451775381625,408.8077407138077,408.9403627997572,408.9567471511158
1.0200000000000005,-0.03615920561570514,0.020365404500878335,11.101276418245472,0.018424753620555734,0.0548431193858363,0.0,-0.16720439185043803,0.07419766951167421,2.070170170898893,0.014178714199284506,0.13584324812350113,0.0,446.34406251384723,448.40518280224984,448.7267641476399,446.768080994505
1.0800000000000005,-0.047127601223990644,0.025125451883151125,11.224418728561393,0.019083330894414274,0.06289934902702665,0.0,-0.19907680355527294,0.08453341360755678,2.03459367702823,0.0036472356592862644,0.1309272352477312,0.0,396.8608326494574,396.42836152707804,396.54853328437775,395.5798690173116
1.1400000000000006,-0.060579450888319356,0.03064495765701629,11.352217342924328,0.018778855296392116,0.07035476466101631,0.0,-0.2501851270325152,0.09945127533313561,2.2249430695705743,-0.03490254586845684,0.10557848193165545,0.0,470.10048920906905,468.1450672159669,470.6758463565357,467.6830606101099
